SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,136 Avellino Way (Unable to map),Mountain View,CA,94043,,4,3.5,94043,1916,,,,,,,,,,,,2014-12-05,1475000,http://www.redfin.com/CA/Mountain-View/136-Avellino-Way-94043/home/62324344,,,,N,Y,37.3902,-122.0566,
Past Sale,Single Family Residential,776 Winston Pl,Mountain View,CA,94043,,3,1,94043,984,,1954,,,,,,,,,,2015-03-06,815000,http://www.redfin.com/CA/Mountain-View/776-Winston-Pl-94043/home/1160208,,,,N,Y,37.404682,-122.06624,
Past Sale,Single Family Residential,910 Wright Ave,MOUNTAIN VIEW,CA,94043,1525000,3,2.5,MOUNTAIN VIEW,2030,6214,1988,2,Garage,,Sold,,,,,1525000,2015-02-19,1775000,http://www.redfin.com/CA/Mountain-View/910-Wright-Ave-94043/home/615213,MLSListings Inc. (MLSLI),ML81450225,Coldwell Banker-Los Gatos,N,Y,37.399514,-122.078612,false
Past Sale,Single Family Residential,220 Oak St,MOUNTAIN VIEW,CA,94041,1688000,3,3,MOUNTAIN VIEW,2497,7000,1994,2,Garage,,Sold,,,,,1688000,2015-02-25,2282000,http://www.redfin.com/CA/Mountain-View/220-Oak-St-94041/home/1527212,MLSListings Inc. (MLSLI),ML81451175,Alain Pinel Realtors,N,Y,37.394966,-122.082634,false
Past Sale,Single Family Residential,774 Bond Way,Mountain View,CA,94040,,3,1,94040,1004,,1952,,,,,,,,,,2013-07-03,1050000,http://www.redfin.com/CA/Mountain-View/774-Bond-Way-94040/home/1303677,,,,N,Y,37.372843,-122.085936,
Past Sale,Single Family Residential,1851 Walnut Dr,MOUNTAIN VIEW,CA,94040,1795000,3,2.5,MOUNTAIN VIEW,1708,8610,1959,2,Garage,,Sold,,,,,1795000,2015-03-19,2250000,http://www.redfin.com/CA/Mountain-View/1851-Walnut-Dr-94040/home/1321523,MLSListings Inc. (MLSLI),ML81454209,Intero Real Estate Services,N,Y,37.369475,-122.092161,false
Past Sale,Single Family Residential,13131 Lorene Ct,Mountain View,CA,94040,,3,2,94040,1432,,1955,,,,,,,,,,2013-04-16,208500,http://www.redfin.com/CA/Mountain-View/13131-Lorene-Ct-94040/home/1427727,,,,N,Y,37.368804,-122.069573,
Past Sale,Single Family Residential,752 Burgoyne St,Mountain View,CA,94043,,3,1,94043,860,,1950,,,,,,,,,,2014-12-31,993000,http://www.redfin.com/CA/Mountain-View/752-Burgoyne-St-94043/home/893690,,,,N,Y,37.405055,-122.086432,
Past Sale,Single Family Residential,214 Lauella Ct,MOUNTAIN VIEW,CA,94041,1100000,3,1,MOUNTAIN VIEW,1193,5440,1953,2,Garage,,Sold,,,,,1100000,2015-02-25,1400000,http://www.redfin.com/CA/Mountain-View/214-Lauella-Ct-94041/home/1641768,MLSListings Inc. (MLSLI),ML81451297,Alain Pinel Realtors,N,Y,37.398638,-122.092319,false
Past Sale,Single Family Residential,355 Fay Way,MOUNTAIN VIEW,CA,94043,1225000,3,2,MOUNTAIN VIEW,1104,5000,1955,1,Garage,,Sold,,,,,1225000,2015-03-04,1510000,http://www.redfin.com/CA/Mountain-View/355-Fay-Way-94043/home/1349842,MLSListings Inc. (MLSLI),ML81452486,Coldwell Banker Los Altos,N,Y,37.408033,-122.095271,false
Past Sale,Single Family Residential,1647 Cornell Dr,Mountain View,CA,94040,,3,1.5,94040,1178,,1952,,,,,,,,,,2014-08-06,1400000,http://www.redfin.com/CA/Mountain-View/1647-Cornell-Dr-94040/home/1558776,,,,N,Y,37.375914,-122.088532,
Past Sale,Single Family Residential,859 Tulane Ct,Mountain View,CA,94040,,3,1.5,94040,1178,,1952,,,,,,,,,,2014-11-24,1280000,http://www.redfin.com/CA/Mountain-View/859-Tulane-Ct-94040/home/593898,,,,N,Y,37.375751,-122.08936,
Past Sale,Single Family Residential,3382 Tryna Dr,Mountain View,CA,94040,,4,2.5,94040,2365,,1977,,,,,,,,,,2014-11-13,2165000,http://www.redfin.com/CA/Mountain-View/3382-Tryna-Dr-94040/home/647638,,,,N,Y,37.362182,-122.067146,
Past Sale,Single Family Residential,1527 Miramonte Ave,Mountain View,CA,94040,,3,2,94040,1300,,1955,,,,,,,,,,2012-12-31,570000,http://www.redfin.com/CA/Mountain-View/1527-Miramonte-Ave-94040/home/1094300,,,,N,Y,37.377743,-122.086655,
Past Sale,Single Family Residential,1081 Jackson St,Mountain View,CA,94043,,4,2.5,94043,2236,,1908,,,,,,,,,,2014-09-30,1050000,http://www.redfin.com/CA/Mountain-View/1081-Jackson-St-94043/home/17290290,,,,N,Y,37.399074,-122.082364,
Past Sale,Single Family Residential,381 Villa St,Mountain View,CA,94041,,3,2.5,94041,1526,,2014,,,,,,,,,,2014-10-02,1746000,http://www.redfin.com/CA/Mountain-View/381-Villa-St-94041/home/62323873,,,,N,Y,37.391622,-122.073842,
Past Sale,Single Family Residential,240 Shumway Ln (Unable to map),Mountain View,CA,94041,,4,2.5,94041,1976,,2014,,,,,,,,,,2014-10-29,1882000,http://www.redfin.com/CA/Mountain-View/240-Shumway-Ln-94041/home/62324092,,,,N,Y,37.3904,-122.0726,
Past Sale,Single Family Residential,232 Shumway LN,Mountain View,CA,94041,,4,2.5,94041,1976,,2014,,,,,,,,,,2014-10-22,1848000,http://www.redfin.com/CA/Mountain-View/232-Shumway-LN-94041/home/62324064,,,,N,Y,37.3909889,-122.0744133,
Past Sale,Single Family Residential,211 Shumway Ln (Unable to map),Mountain View,CA,94041,,3,2.5,94041,1526,,2014,,,,,,,,,,2014-11-13,1690500,http://www.redfin.com/CA/Mountain-View/211-Shumway-Ln-94041/home/62324201,,,,N,Y,37.3904,-122.0726,
Past Sale,Single Family Residential,371 Villa St,Mountain View,CA,94041,,4,2.5,94041,2016,,2014,,,,,,,,,,2014-11-12,1931000,http://www.redfin.com/CA/Mountain-View/371-Villa-St-94041/home/62324202,,,,N,Y,37.391591,-122.073793,
Past Sale,Single Family Residential,215 Shumway Ln (Unable to map),Mountain View,CA,94041,,4,2.5,94041,1976,,2014,,,,,,,,,,2014-11-20,1938500,http://www.redfin.com/CA/Mountain-View/215-Shumway-Ln-94041/home/62324218,,,,N,Y,37.3904,-122.0726,
Past Sale,Single Family Residential,216 Shumway Ln (Unable to map),Mountain View,CA,94041,,4,2.5,94041,1976,,2014,,,,,,,,,,2014-11-26,1909000,http://www.redfin.com/CA/Mountain-View/216-Shumway-Ln-94041/home/62324238,,,,N,Y,37.3904,-122.0726,
Past Sale,Single Family Residential,220 Shumway Ln (Unable to map),Mountain View,CA,94041,,4,2.5,94041,1976,,2014,,,,,,,,,,2014-11-05,1866000,http://www.redfin.com/CA/Mountain-View/220-Shumway-Ln-94041/home/62324176,,,,N,Y,37.3904,-122.0726,
Past Sale,Single Family Residential,104 Concord Cir,Mountain View,CA,94040,,3,2.5,94040,1570,,1994,,,,,,,,,,2013-08-28,1312000,http://www.redfin.com/CA/Mountain-View/104-Concord-Cir-94040/home/2121752,,,,N,Y,37.404768,-122.105933,
Past Sale,Single Family Residential,2143 Junction Ave,Mountain View,CA,94043,,3,2,94043,1683,,1954,,,,,,,,,,2014-04-28,1098500,http://www.redfin.com/CA/Mountain-View/2143-Junction-Ave-94043/home/607580,,,,N,Y,37.410248,-122.094069,
Past Sale,Single Family Residential,1793 VASSAR Ave,Mountain View,CA,94043,849000,3,1,Mountain View,860,5400,1950,2,Garage,,Sold,,,,,849000,2014-02-03,916000,http://www.redfin.com/CA/Mountain-View/1793-Vassar-Ave-94043/home/1821921,MLSListings Inc. (MLSLI),ML81402283,Intero Real Estate Services,N,Y,37.402609,-122.087929,false
Past Sale,Single Family Residential,342 ANNA Ave,Mountain View,CA,94043,949000,3,2,Monta Loma,1170,5000,1956,2,Garage,,Sold,,,,,949000,2013-06-06,,http://www.redfin.com/CA/Mountain-View/342-Anna-Ave-94043/home/1413008,MLSListings Inc. (MLSLI),ML81318358,Coldwell Banker Los Altos,N,Y,37.409064,-122.10126,false
Past Sale,Single Family Residential,1934 Cappelletti Ct,Mountain View,CA,94043,,4,3,94043,1629,,2006,,,,,,,,,,2014-07-10,1490500,http://www.redfin.com/CA/Mountain-View/1934-Cappelletti-Ct-94043/home/12179524,,,,N,Y,37.405134,-122.091882,
Past Sale,Single Family Residential,836 Bourbon Ct,Mountain View,CA,94041,,4,2,94041,1730,,1978,,,,,,,,,,2013-07-31,1150000,http://www.redfin.com/CA/Mountain-View/836-Bourbon-Ct-94041/home/1277471,,,,N,Y,37.377803,-122.065491,
Past Sale,Single Family Residential,139 Azalea Dr,Mountain View,CA,94041,,2,2.5,94041,1787,,2008,,,,,,,,,,2012-06-22,1055000,http://www.redfin.com/CA/Mountain-View/139-Azalea-Dr-94041/home/17290759,,,,N,Y,37.389185,-122.072751,
